Sample ID,Site,Date,Time,Type,NRS_LWIA_notes,dD,d18O,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Notes
RI23-1038,Hungerford,3/23/2023,6:00,Grab/Isco,,-78.782,-11.52,0.1805,34.931,NA.,NA.,24.4426,1.4309,22.0813,0.050025954,0.012383668,0.001511116,-0.011124411,1.721791096,3.701270296,0.050420067,6.429298798,14.46132564,-0.044759612,45.1969623,
RI23-1039,Wade,3/22/2023,18:00,Grab/Isco,,-81.686,-12.15,NA.,1.0946,0.4109,NA.,2.095,1.1925,4.8232,0.01434973,0.001554612,-0.001470024,-0.006262339,1.53378395,0.26225548,-0.020857543,0.530668398,-0.64720873,0.024614429,3.795325214,
RI23-1040,Wade,3/23/2023,0:00,Grab/Isco,,-82.125,-12.072,NA.,1.0481,0.4229,NA.,1.5836,1.1677,4.5754,0.009755471,-0.014517352,-0.000110494,-0.011427705,1.401155993,0.042075515,-0.039138052,0.497981403,-0.745651058,0.00221919,3.653853345,
RI23-1041,Wade,3/23/2023,6:00,Grab/Isco,,-83.331,-12.424,NA.,1.1105,0.4141,NA.,1.9689,1.1799,4.6306,0.014134657,-0.000954055,-0.001495632,-0.000056552,1.355116177,0.24881316,-0.024675823,0.491121858,-0.667913053,0.034904637,3.670326488,
RI23-1042,Hungerford,3/23/2023,12:00,Grab/Isco,,-76.786,-11.499,0.1572,36.9917,0.4177,NA.,30.0148,NA.,25.6052,0.044605128,0.005232181,0.001626633,-0.013575373,2.144593006,3.416709951,0.032595869,7.01920048,14.73226655,-0.049189437,43.32303494,
RI23-1043,Hungerford,3/23/2023,18:00,Grab/Isco,,-75.68,-11.365,0.1934,27.1734,0.416,NA.,21.4181,1.12,17.6114,0.067621089,0.010400639,0.001621233,-0.00461134,1.63269185,4.396179204,0.104960561,5.794659491,11.96350478,-0.001346427,39.77601383,
RI23-1044,Hungerford,3/24/2023,0:00,Grab/Isco,,-76.035,-11.01,0.2425,19.4525,0.4193,NA.,18.4915,1.1933,12.7867,0.076560816,0.002230693,0.002964441,0.02396996,1.47904981,4.09790161,0.081200549,4.04188093,8.480232287,0.000372539,25.59383409,
RI23-1045,Hungerford,3/24/2023,6:00,Grab/Isco,,-76.547,-11.181,NA.,25.0085,NA.,NA.,23.595,NA.,15.2127,0.08077854,0.016478641,0.001618506,-0.004675616,1.93749579,3.521961346,0.081382157,4.512128753,8.880117915,0.010276739,32.494865,
RI23-1046,Hungerford,3/24/2023,12:00,Grab/Isco,,-76.522,-11.338,NA.,30.2457,NA.,NA.,28.2066,NA.,19.3466,0.072228406,0.016830778,0.001902061,-0.010791868,1.908819986,2.96392154,0.040785095,4.837448353,10.00248854,-0.019364421,34.33453007,
RI23-1047,Hungerford,3/24/2023,15:45,Grab/Isco,,-76.275,-11.287,NA.,32.3493,NA.,NA.,29.4188,NA.,21.23,0.075957227,0.021075545,0.000526145,-0.007462477,1.94896771,3.364936999,0.072485834,5.403369305,11.22325547,0.007976315,32.69219822,
RI23-1048,Wade,4/6/2023,12:00,Grab/Isco,,-86.959,-12.866,NA.,NA.,NA.,NA.,NA.,NA.,NA.,-0.001241855,-0.016938892,-0.0000691872,-0.004831381,0.708850205,0.053358545,-0.043926756,0.243319308,-0.937202169,0.06322671,1.867872901,
RI23-1049,Wade,4/7/2023,0:00,Grab/Isco,,-85.227,-12.67,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.007604436,-0.002945512,-0.001189817,-0.00635051,0.746901547,0.274798407,-0.021562433,0.273149495,-0.875151647,0.08071543,2.106945786,
RI23-1050,Wade,4/7/2023,6:00,Grab/Isco,,-86.327,-12.739,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.012036114,-0.001020719,-0.000992594,-0.005760932,0.810300966,0.252345296,-0.021565676,0.270475505,-0.898345422,0.082763848,2.038705967,
RI23-1051,Wade,4/7/2023,12:00,Grab/Isco,,-86.013,-12.881,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.011849682,-0.001328144,-0.001123911,-0.004703508,0.894565102,0.264762886,-0.020869383,0.31634171,-0.851086669,0.074786846,2.23991129,
RI23-1052,Wade,4/7/2023,17:00,Grab/Isco,,-85.28,-12.494,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.005133513,-0.00080731,-0.001380419,-0.006469135,0.902582445,0.252942995,-0.022781498,0.309640192,-0.885508251,0.060591456,2.276254125,
RI23-1053,Hungerford,3/24/2023,18:00,Isco,same sample as ISO23-158,-85.24,-12.526,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.004163568,-0.001038763,-0.001625643,-0.006980813,0.959055888,0.25321913,-0.011485446,0.325280784,-0.890869138,0.05407208,2.338133113,
RI23-1054,Hungerford,3/25/2023,10:00,Isco/grab,,-74.938,-10.741,,,,,,,,,,,,,,,,,,,
RI23-1055,Wade,3/23/2023,12:00,Grab/Isco,,,,NA.,NA.,NA.,NA.,NA.,NA.,0.083,0.01253869,0.001448071,-0.000742203,-0.005961197,1.177932292,0.264622518,-0.013326071,0.486021284,-0.671737676,0.027616549,3.594777784,
RI23-1056,Wade,3/23/2023,18:00,Grab/Isco,,,,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.007047411,-0.014984713,0.000316516,-0.013384375,0.930913924,0.049481287,-0.040661211,0.387519407,-0.819072053,0.009696412,2.973540113,
RI23-1057,Wade,3/24/2023,0:00,Grab/Isco,,,,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.015100987,-0.006556195,0.000489817,-0.012557292,1.188987643,0.080056933,-0.039448254,0.342530147,-0.872951597,0.049592922,2.620107065,
RI23-1058,Wade,3/24/2023,6:00,Grab/Isco,,-88.665,-13.215,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.008623872,-0.015350804,0.000290349,-0.012742366,1.357753527,0.044343844,-0.048191982,0.332811768,-0.91164752,0.053961335,2.57239535,
RI23-1059,Wade,3/24/2023,12:00,Grab/Isco,,-87.016,-13.038,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.001170876,-0.015894935,-0.000212895,-0.014159941,1.347407362,0.067134475,-0.050713494,0.462989455,-0.759217037,0.001660447,3.396424541,
RI23_1059,Wade,3/24/2023,12:00,Grab/Isco,,,,,,,,,,,0.002962995,-0.015067157,-0.000119545,-0.012626365,0.979233812,0.019704228,-0.051464373,0.363607727,-0.846207774,0.035361167,2.733796811,
RI23-1060,Wade,3/24/2023,17:30,Grab/Isco,,,,NA.,NA.,NA.,NA.,NA.,NA.,NA.,0.013802513,0.000112332,-0.001346024,-0.006235277,1.325875362,0.251727248,-0.017647591,0.395477258,-0.780580373,0.059802742,2.948626832,
RI23-1062,,,,Grab/Isco,,,,NA.,NA.,NA.,NA.,NA.,NA.,NA.,,,,,,,,,,,,
RI23-1064,Wade,3/31/2023,8:00,Grab/Isco,,-83.194,-11.926,NA.,NA.,NA.,NA.,NA.,NA.,0.8331,0.005210988,-0.001478595,-0.001026708,-0.006295331,1.42321651,0.258879473,-0.025024288,0.52096552,-0.663802613,0.023384405,3.82448653,
RI23-1065,Wade,3/31/2023,14:00,Grab/Isco,,-82.174,-11.965,NA.,NA.,NA.,NA.,NA.,NA.,0.2424,0.004469733,-0.001766673,-0.001270362,-0.008097558,1.174642847,0.234849335,-0.024427364,0.462208242,-0.721266966,0.020830139,3.338583978,
RI23-1066,Wade,3/31/2023,20:00,Grab/Isco,,-82.71,-12.178,NA.,NA.,NA.,NA.,NA.,NA.,0.4431,0.015543524,-0.0000998386,-0.000995024,-0.008376434,1.37680569,0.26625641,-0.016471063,0.510926567,-0.686861049,0.02444571,3.609337254,
RI23-1067,Wade,4/1/2023,2:00,Grab/Isco,,-82.631,-12.148,NA.,NA.,NA.,NA.,NA.,NA.,0.5719,0.005751086,-0.001594801,-0.000460474,-0.008715731,1.556659486,0.26567925,-0.027139243,0.494133521,-0.682421335,0.02795452,3.675777001,
RI23-1068,Wade,4/1/2023,8:00,Grab/Isco,,-81.928,-12.094,NA.,NA.,NA.,NA.,NA.,NA.,0.4967,0.007588714,0.001398657,-0.000993251,-0.007581166,1.402101091,0.258908585,-0.018561022,0.522499145,-0.68582992,0.021494264,3.749329624,
RI23-1069,Wade,4/1/2023,14:00,Grab/Isco,,-82.383,-12.466,NA.,NA.,NA.,NA.,NA.,NA.,0.1206,,,,,,,,,,,,
