Sample ID,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,UVM-AgLab-ICP-notes-MED
RI24-1165,0.01,-0.002,0.006,0.007,0.996,0.819,0.034,0.329,0.733,0.028,2.452,UVM-Aglab_Replaced with Si run values
RI24-1166,0.012,-0.002,0.006,0.012,1.265,0.685,0.045,0.334,0.563,0.034,2.523,UVM-Aglab_Replaced with Si run values
RI24-1167,0.023,-0.007,0.005,-0.005,0.973,0.527,-0.044,0.269,0.512,0.033,2.317,UVM-Aglab_
RI24-1168,0.028,0.038,0.004,-0.001,0.968,0.505,-0.04,0.251,0.472,0.044,2.228,UVM-Aglab_
RI24-1169,0.034,-0.011,0.005,-0.005,1.012,0.494,-0.042,0.273,0.47,0.052,2.395,UVM-Aglab_
RI24-1170,0.007,-0.013,0.004,-0.002,1.105,0.505,-0.033,0.299,0.455,0.024,2.537,UVM-Aglab_
RI24-1171,0.013,-0.011,0.004,-0.006,1.139,0.502,-0.033,0.314,0.487,0.027,2.54,UVM-Aglab_
RI24-1172,-0.004,-0.016,0.004,0,1.256,0.525,-0.044,0.391,0.531,0.025,2.973,UVM-Aglab_
RI24-1173,0.008,-0.014,0.004,0.003,1.205,0.546,-0.027,0.39,0.534,0.022,2.994,UVM-Aglab_
RI24-1174,0.015,-0.014,0.004,0,1.126,0.53,-0.048,0.368,0.494,0.023,2.885,UVM-Aglab_
RI24-1175,0.015,-0.014,0.004,-0.002,1.121,0.536,-0.038,0.388,0.529,0.019,2.962,UVM-Aglab_
RI24-1176,0.002,-0.015,0.005,0,1.153,0.554,-0.038,0.357,0.498,0.02,2.872,UVM-Aglab_
RI24-1177,0.016,-0.015,0.004,-0.007,0.95,0.553,-0.04,0.322,0.479,0.03,2.589,UVM-Aglab_
RI24-1178,0.01,-0.015,0.004,-0.002,0.862,0.537,-0.045,0.286,0.458,0.037,2.461,UVM-Aglab_
RI24-1179,0.006,-0.014,0.004,0,0.852,0.612,-0.036,0.277,0.456,0.031,2.437,UVM-Aglab_
RI24-1180,0.001,-0.015,0.004,-0.007,0.857,0.554,-0.038,0.279,0.446,0.029,2.407,UVM-Aglab_
RI24-1181,0.002,-0.015,0.004,0.003,0.934,0.521,-0.031,0.285,0.433,0.034,2.496,UVM-Aglab_
RI24-1182,0.001,-0.015,0.004,-0.002,0.97,0.523,-0.035,0.292,0.453,0.035,2.513,UVM-Aglab_
RI24-1183,0.003,-0.015,0.004,0.005,0.979,0.59,-0.042,0.294,0.484,0.033,2.45,UVM-Aglab_
RI24-1184,0.001,-0.015,0.004,-0.006,1.017,0.579,-0.048,0.312,0.475,0.025,2.527,UVM-Aglab_
RI24-1185,0.002,-0.015,0.004,-0.003,1.064,0.563,-0.044,0.323,0.477,0.032,2.641,UVM-Aglab_
RI24-1186,-0.001,-0.015,0.004,-0.004,1.062,0.548,-0.04,0.323,0.466,0.029,2.614,UVM-Aglab_
RI24-1187,0.001,-0.015,0.004,-0.009,1.033,0.549,-0.034,0.322,0.463,0.022,2.594,UVM-Aglab_
