Sample ID,Landis Sample ID,Al_mg_L,Ba_mg_L,Ca_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,S_mg_L,Si_mg_L,Sr_mg_L,Zn_mg_L
RI24-1026,DartmouthID_duffy-030625-019,0.00565403551483,0.0147922169044549,30.5966796110956,0.0176067084875253,2.32317661494922,14.4807632139111,0.0414974960287902,152.112407640956,0.0168811076802331,5.85357980113586,5.63947275584036,0.15104854914285,0.00154554581468416
RI24-1027,DartmouthID_duffy-030625-020,0.00794242995504762,0.0168946307530101,36.3318665938228,0.0287083174018072,2.38329393010865,14.7859140713497,0.0575135652659391,149.183576151253,0.0188370682777216,5.86176193640118,5.78803732487826,0.168715945749184,0.00218844666117052
RI24-1028,DartmouthID_duffy-030625-021,0.00954435320183029,0.0193096279433851,38.3659881160288,0.0255495239435863,2.3305057510814,14.8456545151281,0.0652301717741214,154.109312006777,0.0218332791010172,5.7876396108302,5.80720273488056,0.17070727408791,0.00221984073181646
RI24-1029,DartmouthID_duffy-030625-022,0.00855966058917315,0.0182543505235702,36.941192309066,0.0245582669017432,2.26379375695034,14.7483110701002,0.0765499385717423,147.590373783964,0.0232060135830872,5.54424609904913,4.98376398780761,0.165411807275997,0.00289450712510832
RI24-1030,DartmouthID_duffy-030625-023,0.00632015355962253,0.016408518575529,32.9118737593624,0.0200251574971513,2.2487512831296,14.5526553186057,0.056652422114285,143.063674875757,0.0185343498022886,5.5220442947438,5.26329524486585,0.156245648169076,0.00239104801825085
RI24-1031,DartmouthID_duffy-030625-024,0.00596108627279982,0.0182097147962293,35.3655333939313,0.0185799646959787,2.24636520366023,14.828525588213,0.0607346309251031,147.358450929421,0.0196865194362003,5.74949484144394,5.93937227259249,0.16428211131203,0.00212444233988598
RI24-1032,DartmouthID_duffy-030625-025,0.00786110061353665,0.0184668895401109,37.3194730634755,0.0208738307025085,2.37344412831677,15.326283012873,0.0530813780472893,156.891259440403,0.0192400911063947,5.95804891179576,6.44913749919008,0.173204639389109,0.00226395422705195
RI24-1033,DartmouthID_duffy-030625-026,0.00634482133232119,0.0127730764609731,26.4782113719359,0.0187249541085329,2.31041904597203,14.8837015496657,0.0404733553056226,153.102569605142,0.0165231984816521,5.61696086605672,6.17684720215464,0.138020889106269,0.00245312397040507
RI24-1034,DartmouthID_duffy-030625-027,0.00472193946537962,0.0151201577726762,32.8662493862775,0.0175264393556062,2.40042830786737,15.6674908763779,0.0476357476102658,157.485591669867,0.0206740106081512,6.04066466403364,4.78646569873195,0.164371498043057,0.00210456724185333
RI24-1046,DartmouthID_duffy-030625-028,0.0107934975232666,0.00839484896841559,14.0910146837049,0.701505169679075,0.353517853059327,1.92940483861123,0.487990084578226,1.8220141173818,0.0362998451035443,2.47955023066635,6.08600182214507,0.0818371693637057,0.017607327065572
RI24-1047,DartmouthID_duffy-030625-029,0.00585311700207426,0.00381410024564981,4.90157467169858,0.00148858961056055,0.178554122774203,0.676904311488597,0.0437893522517653,0.679654550870654,0.00342664272850684,1.28726395682754,3.52404923397044,0.0298495188847015,0.00574543895066994
RI24-1048,DartmouthID_duffy-030625-030,0.0131696159532128,0.00341600223101891,3.98497430392081,0.0347613470894651,0.875296416274792,0.599290264102487,0.0170118958527844,0.619783855473892,0.00383368406011087,1.2404756175172,3.91071485186685,0.0253633361359207,0.0542371363912055
RI24-1049,DartmouthID_duffy-030625-031,0.0121391875981998,0.00354163137884267,4.02542683909643,0.0195091695591745,0.142862073360654,0.576573514449597,0.00950756276800316,0.555740241949146,0.00531396118177028,1.18778539657333,3.52656824984112,0.0249295861828593,0.00413093214324146
RI24-1050,DartmouthID_duffy-030625-032,0.014716377026983,0.0045257821333251,5.69302666313506,0.0442967255003188,0.214950487432622,0.824228994957635,0.0145181669730257,0.803182153650515,0.00486168132312963,1.66198312071412,4.39394057188068,0.0348232965856089,0.00930220153194433
RI24-1051,DartmouthID_duffy-030625-033,0.0119061367260829,0.00334216386158233,3.88761497871392,0.0226808873054848,0.966897478865734,0.551610623935352,0.00686903662487888,0.604508336564849,0.00460359739438734,1.14844994464776,3.13893687575015,0.0240869674355159,0.0570091464299196
RI24-1052,DartmouthID_duffy-030625-034,0.00867648910544325,0.00339114455533151,4.12602114345231,0.0179157715856752,0.17556610251839,0.581112262022709,0.0103333563499289,0.571116104509516,0.00447616931224864,1.17076463342641,0.819847302961506,0.0257526138074977,0.00688488754770527
RI24-1053,DartmouthID_duffy-030625-035,0.0408364535851728,0.0049203045122513,6.93861050382009,0.0354995802724115,0.307760917381971,0.973741777424999,0.022114882091303,1.07644354358278,0.00839829638660476,1.94143569417405,5.02338553953096,0.0434332348543175,0.00916895980534318
RI24-1054,DartmouthID_duffy-030625-036,0.0259135205584545,0.00375429741644784,3.50526199558999,0.0292249920192377,0.686249514272354,0.466639020993258,0.00901835073937457,0.517973521918784,0.0035775806436855,1.02845461470148,1.13141970297756,0.0240670026604322,0.0403155642657472
RI24-1055,DartmouthID_duffy-030625-037,0.0381427845115796,0.0026835871900044,2.69914849296331,0.0325101408418581,0.1639696011434,0.38138974789204,0.00662136042128933,0.382676867664231,0.00472093652289976,0.737764428722135,1.77302590375454,0.0171566321383573,0.00819036161085563
RI24-1056,DartmouthID_duffy-030625-038,0.0411589664089256,0.00267981351773967,2.71811514209148,0.0312325537609419,0.166613780807416,0.38925856350103,0.0064187528254288,0.409774307492274,0.00396995506533341,0.746451677294877,2.1921853799026,0.0169677024785258,0.00834296537016165
RI24-1057,DartmouthID_duffy-030625-039,0.0406860421191119,0.00243768414057065,2.70796831670146,0.0278769444899454,0.110242919917533,0.396165706589927,0.00517915021279841,0.448381000970931,0.00379699808983675,0.75007005950194,2.00273176665862,0.0168706676412498,0.00681912168988672
RI24-1058,DartmouthID_duffy-030625-040,0.0357998708758203,0.00281699883910714,2.68788702762485,0.027510172610373,0.139892082856105,0.392083651001501,0.00528651003726672,0.394964455349561,0.00350788013163017,0.754536049669751,1.81815862247486,0.0169300523557982,0.0130026803952677
