Sample ID,Site,Date,Time,Time Zone,Type,Type2,Freezer bag #,UVM ICPOES prep date,Index-notes
RI24-1037,Hungerford,02/10/2024,18:00,EST,Isco,Stream,,,
RI24-1038,Hungerford,02/10/2024,21:00,EST,Isco,Stream,,,
RI24-1024,Potash,02/10/2024,11:00,EST,Isco,Stream,,,
RI24-1025,Potash,02/10/2024,14:00,EST,Isco,Stream,,,
RI24-1026,Potash,02/10/2024,17:00,EST,Isco,Stream,,,
RI24-1027,Potash,02/10/2024,20:00,EST,Isco,Stream,,,
RI24-1028,Potash,02/10/2024,23:00,EST,Isco,Stream,,,
RI24-1049,Wade,02/10/2024,0:00,EST,Isco,Stream,,,
RI24-1050,Wade,02/10/2024,3:00,EST,Isco,Stream,,,
RI24-1051,Wade,02/10/2024,6:00,EST,Isco,Stream,,,
RI24-1052,Wade,02/10/2024,9:00,EST,Isco,Stream,,,
RI24-1053,Wade,02/10/2024,12:00,EST,Isco,Stream,,,
RI24-1054,Wade,02/10/2024,15:00,EST,Isco,Stream,,,
RI24-1055,Wade,02/10/2024,18:00,EST,Isco,Stream,,,
RI24-1056,Wade,02/10/2024,21:00,EST,Isco,Stream,,,
RI24-1029,Potash,02/11/2024,2:00,EST,Isco,Stream,,,
RI24-1030,Potash,02/11/2024,5:00,EST,Isco,Stream,,,
RI24-1031,Potash,02/11/2024,8:00,EST,Isco,Stream,,,
RI24-1032,Potash,02/11/2024,11:00,EST,Isco,Stream,,,
RI24-1033,Potash,02/11/2024,15:30,EST,Grab,Stream,,,
RI24-1001,Wade,02/11/2024,14:00,EST,Isco,Stream,,,Duplicate PES for this sample
RI24-1002,Wade,02/11/2024,17:00,EST,Isco,Stream,,,Duplicate PES for this sample
RI24-1003,Wade,02/11/2024,20:00,EST,Isco,Stream,,,Duplicate PES for this sample
RI24-1004,Wade,02/11/2024,23:00,EST,Isco,Stream,,,Duplicate PES for this sample
RI24-1039,Hungerford,02/11/2024,0:00,EST,Isco,Stream,,,
RI24-1040,Hungerford,02/11/2024,3:00,EST,Isco,Stream,,,
RI24-1041,Hungerford,02/11/2024,6:00,EST,Isco,Stream,,,
RI24-1042,Hungerford,02/11/2024,9:00,EST,Isco,Stream,,,
RI24-1043,Hungerford,02/11/2024,12:00,EST,Isco,Stream,,,
RI24-1044,Hungerford,02/11/2024,14:30,EST,Grab,Stream,,,
RI24-1057,Wade,02/11/2024,0:00,EST,Isco,Stream,,,
RI24-1058,Wade,02/11/2024,3:00,EST,Isco,Stream,,,
RI24-1059,Wade,02/11/2024,6:00,EST,Isco,Stream,,,
RI24-1060,Wade,02/11/2024,9:00,EST,Isco,Stream,,,
RI24-1061,Wade,02/11/2024,12:00,EST,Isco,Stream,,,
RI24-1062,Wade,02/11/2024,13:00,EST,Grab,Stream,,,
RI24-1005,Wade,02/12/2024,2:00,EST,Isco,Stream,,,Duplicate PES for this sample
RI24-1006,Wade,02/12/2024,5:00,EST,Isco,Stream,,,Duplicate PES for this sample
RI24-1007,Wade,02/12/2024,7:00,EST,Isco,Stream,,,Duplicate PES for this sample
RI24-1045,Hungerford,02/12/2024,16:00,EST,Grab,Stream,,,
RI24-1034,Potash,02/12/2024,13:45,EST,Grab,Stream,,,
RI24-1423,Potash,02/16/2024,9:00,EST,Snow,Endmember,,05/21/2024,Potash snow
RI24-1213,Hungerford,02/23/2024,12:00,EST,Soil water lysimeter wet,Endmember,,03/28/2024,Wet site lysimeter
RI24-1064,Hungerford,02/26/2024,15:00,EST,Baseflow,Endmember,,,
RI24-1065,Hungerford,02/26/2024,18:00,EST,Isco,Stream,,,
RI24-1066,Hungerford,02/26/2024,21:00,EST,Isco,Stream,,,
RI24-1076,Potash,02/26/2024,13:15,EST,Grab,Stream,,,"Staff Gage .54, overcast- windy"
RI24-1077,Potash,02/26/2024,15:00,EST,Isco,Stream,,,
RI24-1078,Potash,02/26/2024,18:00,EST,Isco,Stream,,,
RI24-1106,Wade,02/26/2024,17:45,EST,Grab,Stream,,,
RI24-1212,Wade,02/26/2024,17:00,EST,Soil water lysimeter dry,Endmember,,03/28/2024,Dry site lysimeter
RI24-1221,Wade,02/26/2024,16:30,EST,Snowmelt lysimeter,Endmember,,03/28/2024,Dry site lysimeter
RI24-1067,Hungerford,02/27/2024,9:00,EST,Isco,Stream,,,
RI24-1068,Hungerford,02/27/2024,12:00,EST,Isco,Stream,,,
RI24-1069,Hungerford,02/27/2024,15:00,EST,Isco,Stream,,,
RI24-1070,Hungerford,02/27/2024,18:00,EST,Isco,Stream,,,
RI24-1071,Hungerford,02/27/2024,21:00,EST,Isco,Stream,,,
RI24-1079,Potash,02/27/2024,12:00,EST,Isco,Stream,,,
RI24-1080,Potash,02/27/2024,15:00,EST,Isco,Stream,,,
RI24-1081,Potash,02/27/2024,18:00,EST,Isco,Stream,,,
RI24-1082,Potash,02/27/2024,21:00,EST,Isco,Stream,,,
RI24-1089,Wade,02/27/2024,16:00,EST,Isco,Stream,,,
RI24-1090,Wade,02/27/2024,19:00,EST,Isco,Stream,,,
RI24-1101,Wade,02/27/2024,22:00,EST,Isco,Stream,,,
RI24-1063,Hungerford,02/28/2024,10:45,EST,Grab,Stream,,,"Staff Gage .58 m, Overcast - slight wind"
RI24-1072,Hungerford,02/28/2024,0:00,EST,Isco,Stream,,,
RI24-1073,Hungerford,02/28/2024,3:00,EST,Isco,Stream,,,
RI24-1074,Hungerford,02/28/2024,6:00,EST,Isco,Stream,,,
RI24-1075,Hungerford,02/28/2024,9:00,EST,Isco,Stream,,,
RI24-1083,Potash,02/28/2024,0:00,EST,Isco,Stream,,,
RI24-1084,Potash,02/28/2024,3:00,EST,Isco,Stream,,,
RI24-1085,Potash,02/28/2024,6:00,EST,Isco,Stream,,,
RI24-1086,Potash,02/28/2024,9:00,EST,Isco,Stream,,,
RI24-1087,Potash,02/28/2024,12:00,EST,Isco,Stream,,,
RI24-1088,Wade,02/28/2024,11:15,EST,Grab,Stream,,,
RI24-1102,Wade,02/28/2024,1:00,EST,Isco,Stream,,,
RI24-1103,Wade,02/28/2024,4:00,EST,Isco,Stream,,,
RI24-1104,Wade,02/28/2024,7:00,EST,Isco,Stream,,,
RI24-1105,Wade,02/28/2024,10:00,EST,Isco,Stream,,,
RI24-1107,Wade,02/28/2024,13:00,EST,Isco,Stream,,,
RI24-1108,Wade,02/28/2024,16:00,EST,Isco,Stream,,,
RI24-1109,Wade,02/28/2024,19:00,EST,Isco,Stream,,,
RI24-1114,Hungerford,02/28/2024,12:00,EST,Isco,Stream,,,
RI24-1115,Hungerford,02/28/2024,15:00,EST,Isco,Stream,,,
RI24-1116,Hungerford,02/28/2024,18:00,EST,Isco,Stream,,,
RI24-1117,Hungerford,02/28/2024,21:00,EST,Isco,Stream,,,
RI24-1120,Potash,02/28/2024,15:00,EST,Isco,Stream,,,
RI24-1121,Potash,02/28/2024,18:00,EST,Isco,Stream,,,
RI24-1122,Potash,02/28/2024,21:00,EST,Isco,Stream,,,
RI24-1110,Wade,02/29/2024,22:00,EST,Isco,Stream,,,
RI24-1111,Wade,02/29/2024,1:00,EST,Isco,Stream,,,
RI24-1118,Hungerford,02/29/2024,0:00,EST,Isco,Stream,,,
RI24-1123,Potash,02/29/2024,0:00,EST,Isco,Stream,,,
RI24-1112,Wade,03/01/2024,11:00,EST,Grab,Stream,,,Grab Taken in Isco Bottle
RI24-1113,Wade,03/01/2024,11:00,EST,Grab,Stream,,,Grab Taken in (acidwashed) polypro bottle
RI24-1119,Hungerford,03/01/2024,12:30,EST,Grab,Stream,,,Grab Taken in Isco Bottle
RI24-1124,Potash,03/01/2024,12:00,EST,Isco,Stream,,,
RI24-1125,Potash,03/01/2024,14:00,EST,Grab,Stream,,,Grab Taken in (acidwashed) Polypro bottle
RI24-1126,Potash,03/01/2024,14:00,EST,Grab,Stream,,,Grab Taken in isco bottle
RI24-1128,Potash,03/12/2024,10:40,EDT,Grab,Stream,,04/15/2024,Grab Taken in (acidwashed) Polypro bottle
RI24-1141,Potash,03/12/2024,15:00,EDT,Isco,Stream,,,
RI24-1142,Potash,03/12/2024,18:00,EDT,Isco,Stream,,,
RI24-1143,Potash,03/12/2024,21:00,EDT,Isco,Stream,,,
RI24-1127,Hungerford,03/12/2024,12:30,EDT,Grab,Stream,,04/15/2024,Polypro grab
RI24-1091,Hungerford,03/12/2024,15:00,EDT,Isco,Stream,,,
RI24-1092,Hungerford,03/12/2024,18:00,EDT,Isco,Stream,,,
RI24-1093,Hungerford,03/12/2024,21:00,EDT,Isco,Stream,,,
RI24-1100,Wade,03/12/2024,14:45,EDT,Grab,Stream,,04/15/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1130,Wade,03/12/2024,15:00,EDT,Isco,Stream,,04/15/2024,
RI24-1131,Wade,03/12/2024,18:00,EDT,Isco,Stream,,04/15/2024,
RI24-1132,Wade,03/12/2024,21:00,EDT,Isco,Stream,,04/15/2024,
RI24-1144,Potash,03/13/2024,0:00,EDT,Isco,Stream,,,
RI24-1145,Potash,03/13/2024,12:00,EDT,Isco,Stream,,,
RI24-1146,Potash,03/13/2024,15:00,EDT,Isco,Stream,,,
RI24-1147,Potash,03/13/2024,18:00,EDT,Isco,Stream,,,
RI24-1148,Potash,03/13/2024,21:00,EDT,Isco,Stream,,,
RI24-1232,Wade,03/13/2024,15:00,EDT,Isco,Stream,,05/21/2024,
RI24-1233,Wade,03/13/2024,18:00,EDT,Isco,Stream,,05/21/2024,
RI24-1234,Wade,03/13/2024,21:00,EDT,Isco,Stream,,05/21/2024,
RI24-1133,Wade,03/13/2024,0:00,EDT,Isco,Stream,,04/15/2024,
RI24-1129,Wade,03/13/2024,14:30,EDT,Grab,Stream,,04/15/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1098,Wade,03/13/2024,15:15,EDT,Snowmelt lysimeter,Endmember,,04/15/2024,Dry site lysimeter
RI24-1099,Wade,03/13/2024,15:15,EDT,Snow,Endmember,,04/15/2024,Dry site snow
RI24-1149,Potash,03/14/2024,0:00,EDT,Isco,Stream,,,
RI24-1150,Potash,03/14/2024,3:00,EDT,Isco,Stream,,,
RI24-1152,Potash,03/14/2024,6:00,EDT,Isco,Stream,,,
RI24-1151,Potash,03/14/2024,9:00,EDT,Isco,Stream,,,
RI24-1172,Wade,03/14/2024,15:00,EDT,Isco,Stream,,05/02/2024,
RI24-1173,Wade,03/14/2024,18:00,EDT,Isco,Stream,,05/02/2024,
RI24-1174,Wade,03/14/2024,21:00,EDT,Isco,Stream,,05/02/2024,
RI24-1193,Hungerford,03/14/2024,18:00,EDT,Isco,Stream,,07/18/2024,
RI24-1194,Hungerford,03/14/2024,21:00,EDT,Isco,Stream,,07/18/2024,
RI24-1214,Potash,03/14/2024,12:00,EDT,Isco,Stream,,05/02/2024,
RI24-1215,Potash,03/14/2024,15:00,EDT,Isco,Stream,,05/02/2024,
RI24-1216,Potash,03/14/2024,18:00,EDT,Isco,Stream,,05/02/2024,
RI24-1217,Potash,03/14/2024,21:00,EDT,Isco,Stream,,05/02/2024,
RI24-1235,Wade,03/14/2024,0:00,EDT,Isco,Stream,,05/21/2024,
RI24-1236,Wade,03/14/2024,3:00,EDT,Isco,Stream,,05/21/2024,
RI24-1237,Wade,03/14/2024,6:00,EDT,Isco,Stream,,05/21/2024,
RI24-1238,Wade,03/14/2024,9:00,EDT,Isco,Stream,,05/21/2024,
RI24-1239,Wade,03/14/2024,12:00,EDT,Isco,Stream,,05/21/2024,
RI24-1240,Wade,03/14/2024,13:15,EDT,Grab,Stream,,05/21/2024,Gauge @ 0.45m SS
RI24-1175,Wade,03/15/2024,0:00,EDT,Isco,Stream,,05/02/2024,
RI24-1176,Wade,03/15/2024,3:00,EDT,Isco,Stream,,05/02/2024,
RI24-1177,Wade,03/15/2024,6:00,EDT,Isco,Stream,,05/02/2024,
RI24-1178,Wade,03/15/2024,9:00,EDT,Isco,Stream,,05/02/2024,
RI24-1179,Wade,03/15/2024,12:00,EDT,Isco,Stream,,05/02/2024,
RI24-1180,Wade,03/15/2024,15:00,EDT,Isco,Stream,,05/02/2024,
RI24-1181,Wade,03/15/2024,18:00,EDT,Isco,Stream,,05/02/2024,
RI24-1182,Wade,03/15/2024,21:00,EDT,Isco,Stream,,05/02/2024,
RI24-1195,Hungerford,03/15/2024,0:00,EDT,Isco,Stream,,07/18/2024,
RI24-1196,Hungerford,03/15/2024,3:00,EDT,Isco,Stream,,07/18/2024,
RI24-1197,Hungerford,03/15/2024,6:00,EDT,Isco,Stream,,07/18/2024,
RI24-1198,Hungerford,03/15/2024,9:00,EDT,Isco,Stream,,07/18/2024,
RI24-1199,Hungerford,03/15/2024,12:00,EDT,Isco,Stream,,07/18/2024,
RI24-1200,Hungerford,03/15/2024,15:00,EDT,Isco,Stream,,07/18/2024,
RI24-1204,Hungerford,03/15/2024,18:00,EDT,Isco,Stream,,07/18/2024,
RI24-1205,Hungerford,03/15/2024,21:00,EDT,Isco,Stream,,07/18/2024,
RI24-1218,Potash,03/15/2024,0:00,EDT,Isco,Stream,,05/02/2024,
RI24-1219,Potash,03/15/2024,3:00,EDT,Isco,Stream,,05/02/2024,
RI24-1220,Potash,03/15/2024,6:00,EDT,Isco,Stream,,05/02/2024,
RI24-1222,Potash,03/15/2024,9:00,EDT,Isco,Stream,,05/02/2024,
RI24-1223,Potash,03/15/2024,12:00,EDT,Isco,Stream,,05/02/2024,
RI24-1224,Potash,03/15/2024,15:00,EDT,Isco,Stream,,05/02/2024,
RI24-1225,Potash,03/15/2024,18:00,EDT,Isco,Stream,,05/02/2024,
RI24-1226,Potash,03/15/2024,21:00,EDT,Isco,Stream,,05/02/2024,
RI24-1183,Wade,03/16/2024,0:00,EDT,Isco,Stream,,05/02/2024,
RI24-1184,Wade,03/16/2024,3:00,EDT,Isco,Stream,,05/02/2024,
RI24-1185,Wade,03/16/2024,6:00,EDT,Isco,Stream,,05/02/2024,
RI24-1186,Wade,03/16/2024,9:00,EDT,Isco,Stream,,05/02/2024,
RI24-1187,Wade,03/16/2024,12:00,EDT,Isco,Stream,,05/02/2024,
RI24-1188,Wade,03/16/2024,17:30,EDT,Grab,Stream,,05/02/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1164,Wade,03/16/2024,18:00,EDT,Isco,Stream,,07/18/2024,
RI24-1206,Hungerford,03/16/2024,0:00,EDT,Isco,Stream,,07/18/2024,
RI24-1207,Hungerford,03/16/2024,3:00,EDT,Isco,Stream,,07/18/2024,
RI24-1208,Hungerford,03/16/2024,6:00,EDT,Isco,Stream,,07/18/2024,
RI24-1209,Hungerford,03/16/2024,9:00,EDT,Isco,Stream,,07/18/2024,
RI24-1189,Hungerford,03/16/2024,12:00,EDT,Isco,Stream,,07/18/2024,
RI24-1190,Hungerford,03/16/2024,15:00,EDT,Isco,Stream,,07/18/2024,
RI24-1210,Hungerford,03/16/2024,15:00,EDT,Grab,Stream,,07/18/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1134,Hungerford,03/16/2024,18:00,EDT,Isco,Stream,,04/15/2024,
RI24-1227,Potash,03/16/2024,0:00,EDT,Isco,Stream,,05/02/2024,
RI24-1228,Potash,03/16/2024,3:00,EDT,Isco,Stream,,05/02/2024,
RI24-1229,Potash,03/16/2024,6:00,EDT,Isco,Stream,,05/02/2024,
RI24-1230,Potash,03/16/2024,9:00,EDT,Isco,Stream,,05/02/2024,
RI24-1203,Potash,03/16/2024,11:00,EDT,Grab,Stream,,05/02/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1155,Potash,03/16/2024,12:00,EDT,Isco,Stream,,07/18/2024,
RI24-1156,Potash,03/16/2024,18:00,EDT,Isco,Stream,,07/18/2024,
RI24-1165,Wade,03/17/2024,0:00,EDT,Isco,Stream,,07/18/2024,
RI24-1166,Wade,03/17/2024,6:00,EDT,Isco,Stream,,07/18/2024,
RI24-1167,Wade,03/17/2024,12:00,EDT,Isco,Stream,,05/02/2024,
RI24-1168,Wade,03/17/2024,18:00,EDT,Isco,Stream,,05/02/2024,
RI24-1135,Hungerford,03/17/2024,0:00,EDT,Isco,Stream,,04/15/2024,
RI24-1136,Hungerford,03/17/2024,6:00,EDT,Isco,Stream,,04/15/2024,
RI24-1137,Hungerford,03/17/2024,12:00,EDT,Isco,Stream,,07/18/2024,
RI24-1138,Hungerford,03/17/2024,18:00,EDT,Isco,Stream,,07/18/2024,
RI24-1157,Potash,03/17/2024,0:00,EDT,Isco,Stream,,07/18/2024,
RI24-1158,Potash,03/17/2024,6:00,EDT,Isco,Stream,,07/18/2024,
RI24-1159,Potash,03/17/2024,12:00,EDT,Isco,Stream,,07/18/2024,
RI24-1160,Potash,03/17/2024,18:00,EDT,Isco,Stream,,07/18/2024,
RI24-1169,Wade,03/18/2024,0:00,EDT,Isco,Stream,,05/02/2024,
RI24-1170,Wade,03/18/2024,6:00,EDT,Isco,Stream,,05/02/2024,
RI24-1171,Wade,03/18/2024,12:00,EDT,Isco,Stream,,05/02/2024,
RI24-1154,Wade,03/18/2024,15:45,EDT,Grab,Stream,,07/18/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1096,Wade,03/18/2024,15:30,EDT,Snowmelt lysimeter,Endmember,,04/15/2024,
RI24-1139,Hungerford,03/18/2024,0:00,EDT,Isco,Stream,,07/18/2024,
RI24-1140,Hungerford,03/18/2024,6:00,EDT,Isco,Stream,,07/18/2024,
RI24-1163,Hungerford,03/18/2024,12:00,EDT,Isco,Stream,,07/18/2024,
RI24-1153,Hungerford,03/18/2024,14:00,EDT,Grab,Stream,,07/18/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1095,Hungerford,03/18/2024,14:15,EDT,Snowmelt lysimeter,Endmember,,04/15/2024,
RI24-1161,Potash,03/18/2024,0:00,EDT,Isco,Stream,,07/18/2024,
RI24-1162,Potash,03/18/2024,6:00,EDT,Isco,Stream,,07/18/2024,
RI24-1097,Potash,03/18/2024,11:45,EDT,Grab,Stream,,04/15/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1094,Potash,03/18/2024,13:00,EDT,Snowmelt lysimeter,Endmember,,04/15/2024,
RI24-1268,Wade,03/26/2024,10:30,EDT,Grab,Stream,,07/12/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1269,Wade,03/26/2024,12:00,EDT,Isco,Stream,,07/18/2024,
RI24-1270,Wade,03/26/2024,15:00,EDT,Isco,Stream,,07/18/2024,
RI24-1271,Wade,03/26/2024,18:00,EDT,Isco,Stream,,07/18/2024,
RI24-1272,Wade,03/26/2024,21:00,EDT,Isco,Stream,,07/18/2024,
RI24-1267,Hungerford,03/26/2024,12:00,EDT,Baseflow,Endmember,,07/12/2024,"Sunny, some snow still on ground. 40s"
RI24-1278,Hungerford,03/26/2024,15:00,EDT,Isco,Stream,,07/18/2024,
RI24-1279,Hungerford,03/26/2024,18:00,EDT,Isco,Stream,,07/18/2024,
RI24-1280,Hungerford,03/26/2024,21:00,EDT,Isco,Stream,,07/18/2024,
RI24-1273,Wade,03/27/2024,0:00,EDT,Isco,Stream,,07/18/2024,
RI24-1274,Wade,03/27/2024,3:00,EDT,Isco,Stream,,07/18/2024,
RI24-1275,Wade,03/27/2024,6:00,EDT,Isco,Stream,,07/18/2024,
RI24-1276,Wade,03/27/2024,9:00,EDT,Isco,Stream,,07/18/2024,
RI24-1277,Wade,03/27/2024,13:00,EDT,Grab,Stream,,07/18/2024,Grab Taken in (acidwashed) polypro bottle
RI24-1281,Hungerford,03/27/2024,0:00,EDT,Isco,Stream,,07/18/2024,
RI24-1282,Hungerford,03/27/2024,3:00,EDT,Isco,Stream,,07/18/2024,
RI24-1283,Hungerford,03/27/2024,6:00,EDT,Isco,Stream,,07/18/2024,
RI24-1284,Hungerford,03/27/2024,9:00,EDT,Isco,Stream,,07/18/2024,
RI24-1285,Hungerford,03/27/2024,15:30,EDT,Grab,Stream,,07/18/2024,"Cloudy, 48 F, Gauge @ 0.8m MED LC"
RI24-1286,Wade,03/27/2024,13:30,EDT,Snowmelt lysimeter,Endmember,,07/18/2024,
RI24-1302,Hungerford,03/27/2024,17:00,EDT,Isco,Stream,,,
RI24-1303,Hungerford,03/27/2024,20:00,EDT,Isco,Stream,,,
RI24-1304,Hungerford,03/27/2024,23:00,EDT,Isco,Stream,,,
RI24-1287,Wade,03/27/2024,15:00,EDT,Isco,Stream,,,
RI24-1288,Wade,03/27/2024,18:00,EDT,Isco,Stream,,,
RI24-1289,Wade,03/27/2024,21:00,EDT,Isco,Stream,,,
RI24-1305,Hungerford,03/28/2024,2:00,EDT,Isco,Stream,,,
RI24-1306,Hungerford,03/28/2024,5:00,EDT,Isco,Stream,,,
RI24-1307,Hungerford,03/28/2024,8:00,EDT,Isco,Stream,,,
RI24-1308,Hungerford,03/28/2024,11:00,EDT,Isco,Stream,,,
RI24-1309,Hungerford,03/28/2024,14:00,EDT,Isco,Stream,,,
RI24-1310,Hungerford,03/28/2024,17:00,EDT,Isco,Stream,,,
RI24-1311,Hungerford,03/28/2024,20:00,EDT,Isco,Stream,,,
RI24-1312,Hungerford,03/28/2024,23:00,EDT,Isco,Stream,,,
RI24-1290,Wade,03/28/2024,0:00,EDT,Isco,Stream,,,
RI24-1291,Wade,03/28/2024,3:00,EDT,Isco,Stream,,,
RI24-1292,Wade,03/28/2024,6:00,EDT,Isco,Stream,,,
RI24-1293,Wade,03/28/2024,9:00,EDT,Isco,Stream,,,
RI24-1294,Wade,03/28/2024,12:00,EDT,Isco,Stream,,,
RI24-1295,Wade,03/28/2024,15:00,EDT,Isco,Stream,,,
RI24-1296,Wade,03/28/2024,18:00,EDT,Isco,Stream,,,
RI24-1297,Wade,03/28/2024,21:00,EDT,Isco,Stream,,,
RI24-1313,Hungerford,03/29/2024,2:00,EDT,Isco,Stream,,,
RI24-1314,Hungerford,03/29/2024,5:00,EDT,Isco,Stream,,,
RI24-1315,Hungerford,03/29/2024,8:00,EDT,Isco,Stream,,,
RI24-1316,Hungerford,03/29/2024,11:00,EDT,Isco,Stream,,,
RI24-1317,Hungerford,03/29/2024,14:00,EDT,Isco,Stream,,,"Newrnet grab at 3/29/24 15:44 no RI24 ID Sunny, 40 F flow very high with high tubidity SB SS"
RI24-1318,Hungerford,03/29/2024,18:00,EDT,Isco,Stream,,07/12/2024,
RI24-1331,Wade,03/29/2024,15:00,EDT,Isco,Stream,,07/18/2024,
RI24-1332,Wade,03/29/2024,21:00,EDT,Isco,Stream,,07/18/2024,
RI24-1298,Wade,03/29/2024,0:00,EDT,Isco,Stream,,,
RI24-1299,Wade,03/29/2024,3:00,EDT,Isco,Stream,,,
RI24-1300,Wade,03/29/2024,6:00,EDT,Isco,Stream,,,
RI24-1301,Wade,03/29/2024,9:00,EDT,Isco,Stream,,,Newrnet grab taken 3/29/24 11:30 with no RI24 ID SB
