Sample ID,Site,Date,Time,Type,Type2,Index-notes,d18O,dD,HCO3_mg_L,Cl_mg_L,SO4_mg_L,Si_mg_L,Na_mg_L,Mg_mg_L,K_mg_L,Ca_mg_L,Mn_mg_L,ICP-notes
PR-13412,PR Hailstone,05/11/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.3373645962331,-127.083500750356,66.8,5.3739,3.5754,2.901,4.39244930764798,3.5450047483527,0.705447929266692,16.742578514706,0.0227374242203091,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13418,PR Soapstone,05/19/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.67988583185,-127.462383951589,33.3,1.5298,1.6156,1.573,1.3436312400235,1.87307798148789,0.366937340664794,8.75470635890809,0.00518891954302514,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13419,PR Woodland,05/19/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.5922422453034,-126.502024630778,50.6,2.963,3.5697,3.145,2.68480457235429,3.14537594573924,0.546031197394345,15.6393430886067,0.0108357902298372,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13420,PR Hailstone,05/19/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.4454710047187,-125.593800890963,62.7,7.2817,3.4481,3.639,5.19377813004118,3.75466407107365,0.68070866892849,17.5430100430011,0.0397327257014134,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13442,PR Soapstone,05/25/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.7776618157116,-128.40160722605,18.7,0.92,1.1759,1.414,1.05535488023343,1.08777370020375,0.343652171706873,4.90645932548117,0.00498446242338764,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13443,PR Woodland,05/25/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.53714114655,-127.215953307481,36.885245,1.8525,2.0685,2.538,1.84707290929929,2.05848260113642,0.483982889533499,10.4676354361396,0.0096840147860922,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13444,PR Hailstone,05/25/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.3477115231329,-126.493413648932,45.0819672131148,4.112,2.5926,2.956,3.22585575734283,2.78942562275654,0.604152325046133,13.3093878436583,0.0243387838754108,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13459,PR Soapstone,06/02/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.8069698574564,-127.734490977929,12.29508,0.7442,1.0459,1.311,0.882785752297121,0.646559295476419,0.305861748581439,3.03978965281279,0.00633819012347531,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13460,PR Woodland,06/02/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.539451465156,-125.399505827851,29.7,1.431,1.7306,2.411,1.55401506716653,1.68826018903536,0.46019427905668,8.60093303544239,0.0120307537719458,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
PR-13461,PR Hailstone,06/02/2017,12:00,Grab,Stream,MED added artificial times and type assignments,-17.5191536659747,-125.285997430787,40.9836065573771,2.5842,2.3331,2.5,2.31173239789247,2.34946735449115,0.584419576743468,11.2708892255225,0.0167256013709031,Replaced any <DL limit values half the column’s lowest value as in DataEMMA.m EMMALAB function
