Ca_mg_L,Na_mg_L,Si_mg_L,Cl_mg_L,Mg_mg_L,Ca_mg_L,Na_mg_L,Si_mg_L,Cl_mg_L,Mg_mg_L
45.54,19.23,3.04,40.4395,7.48,0.43196585099823487,0.15970474289025113,0.028580660036651776,0.3174158966255972,0.06233284944926508
10.58,6.91,0.68,14.26,2.12,0.43267419064247303,0.15951346879022268,0.02923454921064143,0.3161859136155156,0.06239187774114714
11.01,6.89,0.6,15.0742,2.2,0.4352788658760352,0.15881012412327025,0.03163900158153343,0.31166307445195723,0.0626089339672039
32.49,17.17,2.54,36.6873,5.59,0.435505273604719,0.15874898687802952,0.03184800521968671,0.31126993302341016,0.06262780127415449
52.06,21.79,3.08,39.3158,8.52,0.4268343650253531,0.16109040634881283,0.02384363430127038,0.3263263686208562,0.061905225703707524
45.9,19.47,3.24,39.9516,7.52,0.4377566242090739,0.15814105103228207,0.03392629322603709,0.30736061774560824,0.06281541378699877
52.15,24.25,3.03,43.49100000000001,8.23,0.4218314603604705,0.16244134878876712,0.019225305755806173,0.33501356802994925,0.06148831706500709
13.76,11.12,0.72,21.1342,2.53,0.4476255964947439,0.15547611648075454,0.04303663201406867,0.29022382703076083,0.06363782797967209
18.54,10.48,1.99,22.1425,3.32,0.40574628960851744,0.1667848534682099,0.0043766112036478875,0.36294435928255536,0.06014788643706944
14.46,10.61,1.54,22.8936,2.8,0.4226622034323115,0.1622170218931687,0.019992189136487162,0.33357103989754994,0.06155754564048289
29.01,11.74,2.17,19.529,4.39,0.389968490116746,0.17104535818902544,-0.010188339891451077,0.3903414215099884,0.05883307007569127
32.04,14.32,2.18,24.9174,5.77,-0.32563282721547,0.3642803395503847,-0.670780978045324,1.6329338268202815,-0.0008003611098722296
26.94,12.66,2.76,26.1101,4.97,0.3001525675915178,0.19529849704547403,-0.09310006150531686,0.5463005855062922,0.051348411362032734
34.1,15.55,2.06,26.2508,6.12,0.41210968005231,0.16506653685249234,0.01025084421448039,0.3518947700127106,0.06067816886800662
39.16,15.78,2.64,28.0638,6.09,0.468726604275125,0.14977817721430836,0.06251559335711511,0.2535833802103948,0.06539624494305676
32.39,16.89,2.09,34.1654,5.61,0.40052392722614444,0.16819505643063906,-0.00044430522007875034,0.37201263190439315,0.059712689658902064
28.52,12.31,1.88,24.4204,4.8,0.4185616430547123,0.16332430284548785,0.01620684116110059,0.3406913805946807,0.06121583234401854
25.57,11.67,1.78,19.0993,4.76,0.41581644986641336,0.16406559180307656,0.013672672530359337,0.34545821950940864,0.06098706629074214
33.86,11.63,2.59,19.8719,4.67,0.3432465973620925,0.1836617464724773,-0.05331869424770255,0.4714707706217116,0.05493957979142112
24.53,10.7,2.22,21.572,4.31,0.3909538011916061,0.17077929304552414,-0.009278770237819641,0.38863049668518007,0.058915179315509464
28.07,12.71,2.35,22.5266,5.02,0.3650122910200996,0.17778432100322053,-0.03322614180747719,0.43367614255062603,0.05675338723353101
27.56,12.79,1.82,22.6427,4.88,0.4221026376166786,0.1623681223555845,0.019475637462508036,0.334542687400057,0.061510915165171945
27.38,11.13,2.3,22.7432,4.24,0.38335122439524916,0.1728322291566804,-0.01629693264338336,0.40183184771561087,0.05828163137584288
26.36,12.36,2.49,24.8374,4.81,0.35498571021870445,0.18049181483721566,-0.042481973655228863,0.45108660959880165,0.05591783900050714
