Sample ID,Site,Date,Time,Type,Type2,Index-notes,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,Fl_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes,NRS_LWIA_notes,dD,d18O,iso-notes
RI23-1030,Wade,02/17/2023,2:00,Grab/Isco,Stream,need to verify type,,0.000791566,0.002196834,-0.000602125,-0.006399335,0.20634927,0.24821908,-0.015888774,0.389891339,-0.750371788,0.010405868,2.853083243,,0.9883,,,1.7558,,3.4961,,,-81.816,-12.347,
RI23-1031,Wade,02/17/2023,8:00,Grab/Isco,Stream,need to verify type,,-0.011173113,-0.015727172,0.000136194,-0.013420533,0.229726952,0.022915938,-0.048673187,0.379438037,-0.807704389,-0.012059859,2.819701444,,0.977,,,1.7252,1.1813,3.6009,,,-81.36,-12.34,
RI23-1032,Wade,02/17/2023,11:30,Grab/Isco,Stream,need to verify type,,-0.001828615,-0.002236324,-0.00145954,-0.004198752,0.635231917,0.232023301,-0.015775932,0.386433348,-0.796006763,0.010952677,2.853683177,,1.0107,,,1.7933,1.1908,3.6512,,,-80.657,-12.075,
RI23-1034,Wade,03/22/2023,13:15,Grab/Isco,Stream,need to verify type,,0.014531273,-0.000324202,-0.001263254,-0.001188526,1.74915951,0.259249227,-0.012961239,0.522326467,-0.721376146,0.029131806,3.704749272,,1.0499,0.4131,,1.6848,1.1272,4.6922,,,-81.364,-12.059,
RI23-1039,Wade,03/22/2023,18:00,Grab/Isco,Stream,need to verify type,,0.01434973,0.001554612,-0.001470024,-0.006262339,1.53378395,0.26225548,-0.020857543,0.530668398,-0.64720873,0.024614429,3.795325214,,1.0946,0.4109,,2.095,1.1925,4.8232,,,-81.686,-12.15,
RI23-1040,Wade,03/23/2023,0:00,Grab/Isco,Stream,need to verify type,,0.009755471,-0.014517352,-0.000110494,-0.011427705,1.401155993,0.042075515,-0.039138052,0.497981403,-0.745651058,0.00221919,3.653853345,,1.0481,0.4229,,1.5836,1.1677,4.5754,,,-82.125,-12.072,
RI23-1041,Wade,03/23/2023,6:00,Grab/Isco,Stream,need to verify type,,0.014134657,-0.000954055,-0.001495632,-0.000056552,1.355116177,0.24881316,-0.024675823,0.491121858,-0.667913053,0.034904637,3.670326488,,1.1105,0.4141,,1.9689,1.1799,4.6306,,,-83.331,-12.424,
RI23-1048,Wade,04/6/2023,12:00,Grab/Isco,Stream,need to verify type,,-0.001241855,-0.016938892,-0.0000691872,-0.004831381,0.708850205,0.053358545,-0.043926756,0.243319308,-0.937202169,0.06322671,1.867872901,,1.2336,0.4171,,2.5922,1.702,2.4461,,,-86.959,-12.866,
RI23-1049,Wade,04/7/2023,0:00,Grab/Isco,Stream,need to verify type,,0.007604436,-0.002945512,-0.001189817,-0.00635051,0.746901547,0.274798407,-0.021562433,0.273149495,-0.875151647,0.08071543,2.106945786,,1.224,0.4219,,2.405,,2.4399,,,-85.227,-12.67,
RI23-1050,Wade,04/7/2023,6:00,Grab/Isco,Stream,need to verify type,,0.012036114,-0.001020719,-0.000992594,-0.005760932,0.810300966,0.252345296,-0.021565676,0.270475505,-0.898345422,0.082763848,2.038705967,,1.2221,0.4169,,2.6886,1.6965,2.8119,,,-86.327,-12.739,
RI23-1051,Wade,04/7/2023,12:00,Grab/Isco,Stream,need to verify type,,0.011849682,-0.001328144,-0.001123911,-0.004703508,0.894565102,0.264762886,-0.020869383,0.31634171,-0.851086669,0.074786846,2.23991129,,1.2592,0.4221,,2.6878,,2.54,,,-86.013,-12.881,
RI23-1052,Wade,04/7/2023,17:00,Grab/Isco,Stream,need to verify type,,0.005133513,-0.00080731,-0.001380419,-0.006469135,0.902582445,0.252942995,-0.022781498,0.309640192,-0.885508251,0.060591456,2.276254125,,1.2324,0.4172,,2.5879,,2.8325,,,-85.28,-12.494,
RI23-1055,Wade,03/23/2023,12:00,Grab/Isco,Stream,need to verify type,,0.01253869,0.001448071,-0.000742203,-0.005961197,1.177932292,0.264622518,-0.013326071,0.486021284,-0.671737676,0.027616549,3.594777784,,1.3288,0.4165,,1.6891,,3.7466,,,,,
RI23-1056,Wade,03/23/2023,18:00,Grab/Isco,Stream,need to verify type,,0.007047411,-0.014984713,0.000316516,-0.013384375,0.930913924,0.049481287,-0.040661211,0.387519407,-0.819072053,0.009696412,2.973540113,,1.3778,0.4202,,1.7603,1.7177,3.3289,,,,,
RI23-1057,Wade,03/24/2023,0:00,Grab/Isco,Stream,need to verify type,,0.015100987,-0.006556195,0.000489817,-0.012557292,1.188987643,0.080056933,-0.039448254,0.342530147,-0.872951597,0.049592922,2.620107065,,1.3097,0.4191,,1.9646,1.7182,2.8216,,,,,
RI23-1058,Wade,03/24/2023,6:00,Grab/Isco,Stream,need to verify type,,0.008623872,-0.015350804,0.000290349,-0.012742366,1.357753527,0.044343844,-0.048191982,0.332811768,-0.91164752,0.053961335,2.57239535,,1.3006,0.4151,,2.0998,1.6985,2.9672,,,-88.665,-13.215,
RI23-1059,Wade,03/24/2023,12:00,Grab/Isco,Stream,need to verify type,,0.001170876,-0.015894935,-0.000212895,-0.014159941,1.347407362,0.067134475,-0.050713494,0.462989455,-0.759217037,0.001660447,3.396424541,,1.3079,0.4255,,2.122,1.6925,3.0719,time is arbitrary,,-87.016,-13.038,
RI23-1060,Wade,03/24/2023,17:30,Grab/Isco,Stream,need to verify type,,0.013802513,0.000112332,-0.001346024,-0.006235277,1.325875362,0.251727248,-0.017647591,0.395477258,-0.780580373,0.059802742,2.948626832,,1.3193,0.4146,,2.149,1.6943,3.1954,,,,,
RI23-1064,Wade,03/31/2023,8:00,Grab/Isco,Stream,need to verify type,,0.005210988,-0.001478595,-0.001026708,-0.006295331,1.42321651,0.258879473,-0.025024288,0.52096552,-0.663802613,0.023384405,3.82448653,,1.3522,,,1.8115,,4.105,,,-83.194,-11.926,
RI23-1065,Wade,03/31/2023,14:00,Grab/Isco,Stream,need to verify type,,0.004469733,-0.001766673,-0.001270362,-0.008097558,1.174642847,0.234849335,-0.024427364,0.462208242,-0.721266966,0.020830139,3.338583978,,1.3297,0.4124,0.7234,1.8783,1.7157,3.8227,,,-82.174,-11.965,
RI23-1066,Wade,03/31/2023,20:00,Grab/Isco,Stream,need to verify type,,0.015543524,-0.0000998386,-0.000995024,-0.008376434,1.37680569,0.26625641,-0.016471063,0.510926567,-0.686861049,0.02444571,3.609337254,,1.3794,0.417,,1.8045,,3.9186,,,-82.71,-12.178,
RI23-1067,Wade,04/1/2023,2:00,Grab/Isco,Stream,need to verify type,,0.005751086,-0.001594801,-0.000460474,-0.008715731,1.556659486,0.26567925,-0.027139243,0.494133521,-0.682421335,0.02795452,3.675777001,,1.3385,0.4164,,1.8294,1.6977,3.9802,,,-82.631,-12.148,
RI23-1068,Wade,04/1/2023,8:00,Grab/Isco,Stream,need to verify type,,0.007588714,0.001398657,-0.000993251,-0.007581166,1.402101091,0.258908585,-0.018561022,0.522499145,-0.68582992,0.021494264,3.749329624,,1.331,0.4326,,1.8344,1.7474,3.9442,,,-81.928,-12.094,
RI23-1069,Wade,04/1/2023,14:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,1.3533,0.4237,,1.7832,1.7005,3.7645,,,-82.383,-12.466,
RI23-1070,Wade,04/1/2023,20:00,Grab/Isco,Stream,need to verify type,,0.02173889,0.000697066,-0.001176202,-0.008137154,1.010726775,0.269050581,-0.01891766,0.360545045,-0.82391887,0.046167978,2.817128657,,1.2732,0.4219,,1.6588,,3.1688,,,-86.996,-13.057,
RI23-1071,Wade,04/2/2023,2:00,Grab/Isco,Stream,need to verify type,,0.017966364,-0.000899831,0.000071504,-0.008163888,0.998054911,0.258750119,-0.015558634,0.332864429,-0.854569356,0.058083936,2.694121633,,1.2492,0.4203,,1.8265,,3.0346,,,-88.055,-13.392,
RI23-1072,Wade,04/2/2023,8:00,Grab/Isco,Stream,need to verify type,,0.012735074,-0.001379975,-0.001208088,-0.008036699,1.021814584,0.242394853,-0.0170764,0.366685728,-0.796555265,0.057991194,2.809760334,,1.2779,,,1.9689,,3.1615,,,-87.78,-13.383,
RI23-1073,Wade,04/2/2023,14:00,Grab/Isco,Stream,need to verify type,,0.008768052,-0.001134997,-0.001257182,-0.007673665,1.096390215,0.228079413,-0.01959113,0.373492947,-0.772736884,0.047372034,2.852341465,,1.2742,0.4183,,1.9483,1.7209,3.2118,,,-86.61,-13.449,
RI23-1074,Wade,04/2/2023,20:00,Grab/Isco,Stream,need to verify type,,0.010919397,0.009923653,-0.001405038,-0.007688091,1.279718809,0.245479163,-0.009385169,0.396460512,-0.747720014,0.049405371,2.996397878,,1.3075,0.4219,,2.0406,1.6932,3.3687,,,-86.264,-13.438,
RI23-1075,Wade,04/3/2023,2:00,Grab/Isco,Stream,need to verify type,,-0.002557897,-0.016453343,0.000455748,-0.014389707,1.268876633,0.04061056,-0.048028714,0.413744815,-0.79203917,0.021207666,3.183534821,,1.3168,0.4228,,2.0774,,3.5599,,,-86.479,-13.355,
RI23-1077,Wade,04/3/2023,14:00,Grab/Isco,Stream,need to verify type,,-0.001128697,-0.016263509,-0.00000495159,0.304437855,1.351217087,0.015507078,-0.045805235,0.392955423,-0.849758607,0.021340273,2.886000661,,1.637,,,2.0278,,3.5605,,,-84.668,-12.58,
RI23-1078,Wade,04/3/2023,22:00,Grab/Isco,Stream,need to verify type,,0.011288704,-0.001067489,-0.001309167,0.052094637,1.130374338,0.266937275,-0.017656168,0.422942735,-0.781042138,0.036524847,3.087491001,,1.3789,0.4183,,1.947,,3.5006,,,-84.596,-12.971,
RI23-1079,Wade,04/4/2023,6:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,1.5039,,,1.9619,,3.5407,,,-84.992,-12.716,
RI23-1080,Wade,04/4/2023,14:00,Grab/Isco,Stream,need to verify type,,-0.006015248,-0.01679581,0.0000910232,0.007496276,1.0213899,0.041539688,-0.046511003,0.401037267,-0.832124948,0.006182841,3.115862819,,1.4743,0.5756,,1.9407,2.1689,3.5536,,,-84.909,-12.662,
RI23-1081,Wade,04/5/2023,14:00,Grab/Isco,Stream,need to verify type,,-0.003036492,-0.007410095,0.000244656,-0.00064442,1.113853289,0.047755516,-0.042345271,0.402501267,-0.806651462,0.010775109,3.067938873,,1.5276,0.5833,,1.9338,2.2219,3.4614,,,-85.309,-12.684,
RI23-1082,Wade,04/5/2023,22:00,Grab/Isco,Stream,need to verify type,,0.013863985,-0.015068444,0.000709343,-0.007303387,0.838482332,0.087136672,-0.054591578,0.251554121,-0.988471588,0.058664107,2.095150301,,1.4003,0.5884,,1.8824,2.2143,2.7237,,,-81.023,-11.998,
RI23-1083,Wade,04/6/2023,6:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,1.3885,0.5913,,2.2374,2.2111,2.6793,,,-83.691,-12.527,
RI23-1093,Wade,04/10/2023,6:00,Grab/Isco,Stream,need to verify type,,0.00863596,-0.000980345,-0.000832858,-0.003494147,1.150045414,0.241614625,-0.021311297,0.364991639,-0.80725895,0.043509883,2.786990661,,1.4636,,,2.2376,,3.1972,,,-84.793,-12.564,
RI23-1094,Wade,04/10/2023,12:00,Grab/Isco,Stream,need to verify type,,0.007476417,0.000206288,-0.001158914,-0.005412438,1.017872869,0.245271537,-0.016455663,0.357069259,-0.84219619,0.038871603,2.698008937,,1.4376,0.5889,,2.1944,2.1993,3.2416,,,-84.459,-12.484,
RI23-1095,Wade,04/10/2023,18:00,Grab/Isco,Stream,need to verify type,,0.000523073,-0.01474231,-0.000116398,-0.002091972,0.976825194,0.002551917,-0.04345004,0.307319519,-0.875760075,0.022753804,2.460775089,,1.4718,0.5792,,2.0527,,3.0893,,,-85.437,-12.629,
RI23-1096,Wade,04/11/2023,0:00,Grab/Isco,Stream,need to verify type,,0.009029928,-0.000673684,-0.001201484,0.001432663,0.947297288,0.231896354,-0.014212064,0.294665178,-0.869760777,0.066334377,2.411926803,,1.4211,,,2.0747,2.162,2.8366,,vial is missing,,,
RI23-1097,Wade,04/11/2023,6:00,Grab/Isco,Stream,need to verify type,,-0.005308506,-0.015564569,-0.0000026658,-0.009873745,0.859895617,0.026292909,-0.047404996,0.287033152,-0.889368313,0.027770743,2.290268873,,1.4203,0.5776,,2.2482,,2.8978,,,-86.183,-12.693,
RI23-1100,Wade,04/11/2023,16:00,Grab/Isco,Stream,need to verify type,,-0.003002955,-0.015022065,0.000546942,-0.004406859,0.733681535,0.050678134,-0.046811064,0.227469347,-0.949228025,0.045719201,1.923157102,,1.779603237,,,2.556605766,1.595329548,5.863016648,2024-10-03 MED switched SO4 and PO4 values because I think they are erroneous. Verified in Chromeleon I don't think SS knew the swap the peaks.,,-86.889,-12.713,
RI23-1101,Wade,04/12/2023,0:00,Grab/Isco,Stream,need to verify type,,0.005325502,-0.014964109,0.000660561,-0.007599487,0.659190765,0.046483474,-0.050560379,0.228322849,-0.967000136,0.075819377,1.820530903,,1.3819,0.5757,,2.4669,,2.4997,,,-88.178,-12.949,
RI23-1102,Wade,04/12/2023,8:00,Grab/Isco,Stream,need to verify type,,,,,,,,,,,,,,1.3839,,,2.4734,2.1762,2.4755,,,-87.574,-12.842,
